1;TADEJ POGAČAR;UAE TEAM EMIRATES;83h 38' 56'';-
2;JONAS VINGEGAARD HANSEN;TEAM VISMA | LEASE A BIKE;83h 45' 13'';+ 00h 06' 17''
3;REMCO EVENEPOEL;SOUDAL QUICK-STEP;83h 48' 14'';+ 00h 09' 18''
4;JOAO ALMEIDA;UAE TEAM EMIRATES;83h 57' 59'';+ 00h 19' 03''
5;MIKEL LANDA MEANA;SOUDAL QUICK-STEP;83h 59' 02'';+ 00h 20' 06''
6;ADAM YATES;UAE TEAM EMIRATES;84h 03' 03'';+ 00h 24' 07''
7;CARLOS RODRIGUEZ;INEOS GRENADIERS;84h 04' 00'';+ 00h 25' 04''
8;MATTEO JORGENSON;TEAM VISMA | LEASE A BIKE;84h 05' 30'';+ 00h 26' 34''
9;DEREK GEE;ISRAEL - PREMIER TECH;84h 06' 17'';+ 00h 27' 21''
10;SANTIAGO BUITRAGO SANCHEZ;BAHRAIN VICTORIOUS;84h 07' 59'';+ 00h 29' 03''
11;GIULIO CICCONE;LIDL-TREK;84h 09' 38'';+ 00h 30' 42''
12;SIMON YATES;TEAM JAYCO ALULA;84h 18' 00'';+ 00h 39' 04''
13;GUILLAUME MARTIN GUYONNET;COFIDIS;84h 22' 45'';+ 00h 43' 49''
14;FELIX GALL;DECATHLON AG2R LA MONDIALE TEAM;84h 25' 08'';+ 00h 46' 12''
15;LAURENS DE PLUS;INEOS GRENADIERS;84h 25' 20'';+ 00h 46' 24''
16;STEFF CRAS;TOTALENERGIES;84h 28' 14'';+ 00h 49' 18''
17;RICHARD CARAPAZ;EF EDUCATION - EASYPOST;84h 28' 20'';+ 00h 49' 24''
18;JAI HINDLEY;RED BULL - BORA - HANSGROHE;84h 36' 00'';+ 00h 57' 04''
19;ENRIC MAS NICOLAU;MOVISTAR TEAM;84h 50' 01'';+ 01h 11' 05''
20;LOUIS MEINTJES;INTERMARCHÉ - WANTY;84h 50' 46'';+ 01h 11' 50''
21;WILCO KELDERMAN;TEAM VISMA | LEASE A BIKE;85h 02' 07'';+ 01h 23' 11''
22;JULIEN BERNARD;LIDL-TREK;85h 16' 11'';+ 01h 37' 15''
23;JAVIER ROMO OLIVER;MOVISTAR TEAM;85h 21' 22'';+ 01h 42' 26''
24;CARLOS VERONA QUINTANILLA;LIDL-TREK;85h 26' 09'';+ 01h 47' 13''
25;VALENTIN MADOUAS;GROUPAMA-FDJ;85h 30' 55'';+ 01h 51' 59''
26;ILAN VAN WILDER;SOUDAL QUICK-STEP;85h 33' 26'';+ 01h 54' 30''
27;BEN HEALY;EF EDUCATION - EASYPOST;85h 35' 08'';+ 01h 56' 12''
28;JORDAN JEGAT;TOTALENERGIES;85h 41' 32'';+ 02h 02' 36''
29;EGAN BERNAL GOMEZ;INEOS GRENADIERS;85h 42' 46'';+ 02h 03' 50''
30;ROMAIN BARDET;TEAM DSM-FIRMENICH POSTNL;85h 43' 21'';+ 02h 04' 25''
31;JACK HAIG;BAHRAIN VICTORIOUS;85h 50' 29'';+ 02h 11' 33''
32;PAVEL SIVAKOV;UAE TEAM EMIRATES;85h 53' 17'';+ 02h 14' 21''
33;BRUNO ARMIRAIL;DECATHLON AG2R LA MONDIALE TEAM;85h 54' 35'';+ 02h 15' 39''
34;ODD CHRISTIAN EIKING;UNO-X MOBILITY;85h 57' 30'';+ 02h 18' 34''
35;TOBIAS HALLAND JOHANNESSEN;UNO-X MOBILITY;86h 00' 33'';+ 02h 21' 37''
36;CRISTIAN RODRIGUEZ MARTIN;ARKEA-B&B HOTELS;86h 05' 55'';+ 02h 26' 59''
37;BOB JUNGELS;RED BULL - BORA - HANSGROHE;86h 08' 01'';+ 02h 29' 05''
38;JAKOB FUGLSANG;ISRAEL - PREMIER TECH;86h 10' 38'';+ 02h 31' 42''
39;EDGAR OSCAR ONLEY;TEAM DSM-FIRMENICH POSTNL;86h 20' 35'';+ 02h 41' 39''
40;WARREN BARGUIL;TEAM DSM-FIRMENICH POSTNL;86h 21' 09'';+ 02h 42' 13''
41;ROMAIN GREGOIRE;GROUPAMA-FDJ;86h 22' 37'';+ 02h 43' 41''
42;GERAINT THOMAS;INEOS GRENADIERS;86h 26' 32'';+ 02h 47' 36''
43;WOUT POELS;BAHRAIN VICTORIOUS;86h 33' 48'';+ 02h 54' 52''
44;MARC SOLER;UAE TEAM EMIRATES;86h 34' 43'';+ 02h 55' 47''
45;TOMS SKUJINS;LIDL-TREK;86h 35' 58'';+ 02h 57' 02''
46;QUENTIN PACHER;GROUPAMA-FDJ;86h 54' 03'';+ 03h 15' 07''
47;JOHANNES KULSET;UNO-X MOBILITY;86h 56' 38'';+ 03h 17' 42''
48;NICOLAS PRODHOMME;DECATHLON AG2R LA MONDIALE TEAM;86h 58' 21'';+ 03h 19' 25''
49;TIESJ BENOOT;TEAM VISMA | LEASE A BIKE;87h 05' 07'';+ 03h 26' 11''
50;HUGO HOULE;ISRAEL - PREMIER TECH;87h 05' 51'';+ 03h 26' 55''
51;NELSON OLIVEIRA;MOVISTAR TEAM;87h 12' 50'';+ 03h 33' 54''
52;WOUT VAN AERT;TEAM VISMA | LEASE A BIKE;87h 14' 52'';+ 03h 35' 56''
53;JONATHAN CASTROVIEJO NICOLAS;INEOS GRENADIERS;87h 14' 54'';+ 03h 35' 58''
54;MICHAL KWIATKOWSKI;INEOS GRENADIERS;87h 15' 30'';+ 03h 36' 34''
55;JONAS ABRAHAMSEN;UNO-X MOBILITY;87h 17' 54'';+ 03h 38' 58''
56;GREGOR MÜHLBERGER;MOVISTAR TEAM;87h 19' 13'';+ 03h 40' 17''
57;MAGNUS CORT NIELSEN;UNO-X MOBILITY;87h 20' 53'';+ 03h 41' 57''
58;KÉVIN GENIETS;GROUPAMA-FDJ;87h 23' 15'';+ 03h 44' 19''
59;NEILSON POWLESS;EF EDUCATION - EASYPOST;87h 24' 20'';+ 03h 45' 24''
60;MATTEO SOBRERO;RED BULL - BORA - HANSGROHE;87h 25' 42'';+ 03h 46' 46''
61;JASPER STUYVEN;LIDL-TREK;87h 26' 35'';+ 03h 47' 39''
62;FRANK VAN DEN BROEK;TEAM DSM-FIRMENICH POSTNL;87h 26' 58'';+ 03h 48' 02''
63;MATHIEU BURGAUDEAU;TOTALENERGIES;87h 27' 13'';+ 03h 48' 17''
64;JAN TRATNIK;TEAM VISMA | LEASE A BIKE;87h 27' 30'';+ 03h 48' 34''
65;DAVID GAUDU;GROUPAMA-FDJ;87h 28' 19'';+ 03h 49' 23''
66;KRISTS NEILANDS;ISRAEL - PREMIER TECH;87h 31' 04'';+ 03h 52' 08''
67;JAN HIRT;SOUDAL QUICK-STEP;87h 32' 56'';+ 03h 54' 00''
68;RUI COSTA;EF EDUCATION - EASYPOST;87h 33' 06'';+ 03h 54' 10''
69;KOBE GOOSSENS;INTERMARCHÉ - WANTY;87h 35' 01'';+ 03h 56' 05''
70;BART LEMMEN;TEAM VISMA | LEASE A BIKE;87h 35' 24'';+ 03h 56' 28''
71;ALEX ARANBURU DEVA;MOVISTAR TEAM;87h 36' 49'';+ 03h 57' 53''
72;DAVIDE FORMOLO;MOVISTAR TEAM;87h 38' 37'';+ 03h 59' 41''
73;STEPHEN WILLIAMS;ISRAEL - PREMIER TECH;87h 38' 53'';+ 03h 59' 57''
74;HAROLD TEJADA CANACUE;ASTANA QAZAQSTAN TEAM;87h 39' 09'';+ 04h 00' 13''
75;NILS POLITT;UAE TEAM EMIRATES;87h 42' 17'';+ 04h 03' 21''
76;NANS PETERS;DECATHLON AG2R LA MONDIALE TEAM;87h 46' 35'';+ 04h 07' 39''
77;GEORG ZIMMERMANN;INTERMARCHÉ - WANTY;87h 46' 55'';+ 04h 07' 59''
78;SEAN QUINN;EF EDUCATION - EASYPOST;87h 49' 34'';+ 04h 10' 38''
79;OIER LAZKANO LOPEZ;MOVISTAR TEAM;87h 49' 37'';+ 04h 10' 41''
80;TIM WELLENS;UAE TEAM EMIRATES;87h 59' 45'';+ 04h 20' 49''
81;VICTOR CAMPENAERTS;LOTTO DSTNY;88h 02' 17'';+ 04h 23' 21''
82;DORIAN GODON;DECATHLON AG2R LA MONDIALE TEAM;88h 02' 23'';+ 04h 23' 27''
83;OLIVER NAESEN;DECATHLON AG2R LA MONDIALE TEAM;88h 02' 39'';+ 04h 23' 43''
84;CHRISTOPHE LAPORTE;TEAM VISMA | LEASE A BIKE;88h 05' 23'';+ 04h 26' 27''
85;MARCO HALLER;RED BULL - BORA - HANSGROHE;88h 05' 48'';+ 04h 26' 52''
86;GIANNI MOSCON;SOUDAL QUICK-STEP;88h 05' 50'';+ 04h 26' 54''
87;RYAN GIBBONS;LIDL-TREK;88h 07' 40'';+ 04h 28' 44''
88;PAUL LAPEIRA;DECATHLON AG2R LA MONDIALE TEAM;88h 07' 50'';+ 04h 28' 54''
89;MICHAEL MATTHEWS;TEAM JAYCO ALULA;88h 08' 59'';+ 04h 30' 03''
90;FABIEN GRELLIER;TOTALENERGIES;88h 12' 36'';+ 04h 33' 40''
91;KÉVIN VAUQUELIN;ARKEA-B&B HOTELS;88h 12' 52'';+ 04h 33' 56''
92;THOMAS GACHIGNARD;TOTALENERGIES;88h 17' 26'';+ 04h 38' 30''
93;MIKE TEUNISSEN;INTERMARCHÉ - WANTY;88h 19' 10'';+ 04h 40' 14''
94;SIMON GESCHKE;COFIDIS;88h 19' 26'';+ 04h 40' 30''
95;BRENT VAN MOER;LOTTO DSTNY;88h 21' 25'';+ 04h 42' 29''
96;MATHIEU VAN DER POEL;ALPECIN-DECEUNINCK;88h 23' 01'';+ 04h 44' 05''
97;JUUL CHRISTOPHER JENSEN;TEAM JAYCO ALULA;88h 24' 08'';+ 04h 45' 12''
98;RAUL GARCIA PIERNA;ARKEA-B&B HOTELS;88h 25' 08'';+ 04h 46' 12''
99;AXEL LAURANCE;ALPECIN-DECEUNINCK;88h 25' 21'';+ 04h 46' 25''
100;STEFAN BISSEGGER;EF EDUCATION - EASYPOST;88h 25' 51'';+ 04h 46' 55''
101;CLÉMENT CHAMPOUSSIN;ARKEA-B&B HOTELS;88h 28' 55'';+ 04h 49' 59''
102;CLÉMENT RUSSO;GROUPAMA-FDJ;88h 30' 20'';+ 04h 51' 24''
103;MATTEO VERCHER;TOTALENERGIES;88h 34' 10'';+ 04h 55' 14''
104;BRYAN COQUARD;COFIDIS;88h 35' 42'';+ 04h 56' 46''
105;RASMUS TILLER;UNO-X MOBILITY;88h 35' 47'';+ 04h 56' 51''
106;ANTHONY TURGIS;TOTALENERGIES;88h 38' 44'';+ 04h 59' 48''
107;GIANNI VERMEERSCH;ALPECIN-DECEUNINCK;88h 41' 03'';+ 05h 02' 07''
108;AXEL ZINGLE;COFIDIS;88h 43' 26'';+ 05h 04' 30''
109;MARIJN VAN DEN BERG;EF EDUCATION - EASYPOST;88h 46' 51'';+ 05h 07' 55''
110;NICO DENZ;RED BULL - BORA - HANSGROHE;88h 47' 08'';+ 05h 08' 12''
111;NIKIAS ARNDT;BAHRAIN VICTORIOUS;88h 47' 24'';+ 05h 08' 28''
112;PASCAL ACKERMANN;ISRAEL - PREMIER TECH;88h 49' 10'';+ 05h 10' 14''
113;BINIAM GIRMAY;INTERMARCHÉ - WANTY;88h 51' 43'';+ 05h 12' 47''
114;PIET ALLEGAERT;COFIDIS;88h 55' 10'';+ 05h 16' 14''
115;BEN TURNER;INEOS GRENADIERS;88h 56' 07'';+ 05h 17' 11''
116;LUKA MEZGEC;TEAM JAYCO ALULA;88h 56' 22'';+ 05h 17' 26''
117;HUGO PAGE;INTERMARCHÉ - WANTY;88h 56' 55'';+ 05h 17' 59''
118;LAURENZ REX;INTERMARCHÉ - WANTY;88h 57' 16'';+ 05h 18' 20''
119;ARNAUD DE LIE;LOTTO DSTNY;88h 58' 52'';+ 05h 19' 56''
120;DANNY VAN POPPEL;RED BULL - BORA - HANSGROHE;89h 01' 12'';+ 05h 22' 16''
121;CEDRIC BEULLENS;LOTTO DSTNY;89h 02' 13'';+ 05h 23' 17''
122;JOHN DEGENKOLB;TEAM DSM-FIRMENICH POSTNL;89h 03' 04'';+ 05h 24' 08''
123;LUKE DURBRIDGE;TEAM JAYCO ALULA;89h 05' 33'';+ 05h 26' 37''
124;LENNY MARTINEZ;GROUPAMA-FDJ;89h 05' 41'';+ 05h 26' 45''
125;YVES LAMPAERT;SOUDAL QUICK-STEP;89h 06' 47'';+ 05h 27' 51''
126;SILVAN DILLIER;ALPECIN-DECEUNINCK;89h 10' 17'';+ 05h 31' 21''
127;MATEJ MOHORIC;BAHRAIN VICTORIOUS;89h 12' 18'';+ 05h 33' 22''
128;JASPER PHILIPSEN;ALPECIN-DECEUNINCK;89h 13' 29'';+ 05h 34' 33''
129;SÉBASTIEN GRIGNARD;LOTTO DSTNY;89h 15' 48'';+ 05h 36' 52''
130;HARM VANHOUCKE;LOTTO DSTNY;89h 16' 07'';+ 05h 37' 11''
131;ALEXANDER KRISTOFF;UNO-X MOBILITY;89h 18' 38'';+ 05h 39' 42''
132;SANDY DUJARDIN;TOTALENERGIES;89h 19' 54'';+ 05h 40' 58''
133;SØREN WÆRENSKJOLD;UNO-X MOBILITY;89h 25' 20'';+ 05h 46' 24''
134;ROBBE GHYS;ALPECIN-DECEUNINCK;89h 34' 10'';+ 05h 55' 14''
135;DYLAN GROENEWEGEN;TEAM JAYCO ALULA;89h 36' 37'';+ 05h 57' 41''
136;DANIEL MCLAY;ARKEA-B&B HOTELS;89h 37' 04'';+ 05h 58' 08''
137;LUCA MOZZATO;ARKEA-B&B HOTELS;89h 38' 32'';+ 05h 59' 36''
138;CEES BOL;ASTANA QAZAQSTAN TEAM;89h 47' 07'';+ 06h 08' 11''
139;JARRAD ERIKS DRIZNERS;LOTTO DSTNY;89h 51' 17'';+ 06h 12' 21''
140;DAVIDE BALLERINI;ASTANA QAZAQSTAN TEAM;90h 01' 42'';+ 06h 22' 46''
141;MARK CAVENDISH;ASTANA QAZAQSTAN TEAM;90h 02' 07'';+ 06h 23' 11''